artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Taylor Swift,Bigger Than The Whole Sky,0.422,0.235,6,-12.379,1,0.0568,0.826,0.00648,0.115,0.068,165.71,audio_features,0BiqmkasE5FdrChwKfVp8X,spotify:track:0BiqmkasE5FdrChwKfVp8X,https://api.spotify.com/v1/tracks/0BiqmkasE5FdrChwKfVp8X,https://api.spotify.com/v1/audio-analysis/0BiqmkasE5FdrChwKfVp8X,218503,4
Nicki Minaj,Super Freaky Girl,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,audio_features,4C6Uex2ILwJi9sZXRdmqXp,spotify:track:4C6Uex2ILwJi9sZXRdmqXp,https://api.spotify.com/v1/tracks/4C6Uex2ILwJi9sZXRdmqXp,https://api.spotify.com/v1/audio-analysis/4C6Uex2ILwJi9sZXRdmqXp,170977,4
Chris Brown,Under The Influence,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,audio_features,5IgjP7X4th6nMNDh4akUHb,spotify:track:5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/tracks/5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/audio-analysis/5IgjP7X4th6nMNDh4akUHb,184613,4
Taylor Swift,The Great War,0.573,0.741,5,-8.987,1,0.0353,0.219,2.23e-05,0.0842,0.554,96.016,audio_features,3UMrglJeju5yWyYIW6o99b,spotify:track:3UMrglJeju5yWyYIW6o99b,https://api.spotify.com/v1/tracks/3UMrglJeju5yWyYIW6o99b,https://api.spotify.com/v1/audio-analysis/3UMrglJeju5yWyYIW6o99b,240356,4
Doja Cat,Vegas,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,audio_features,0hquQWY3xvYqN4qtiquniF,spotify:track:0hquQWY3xvYqN4qtiquniF,https://api.spotify.com/v1/tracks/0hquQWY3xvYqN4qtiquniF,https://api.spotify.com/v1/audio-analysis/0hquQWY3xvYqN4qtiquniF,182907,4
Zach Bryan,Something In The Orange,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,audio_features,3WMj8moIAXJhHsyLaqIIHI,spotify:track:3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/tracks/3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/audio-analysis/3WMj8moIAXJhHsyLaqIIHI,228013,3
Morgan Wallen,Wasted On You,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,audio_features,3cBsEDNhFI9E82vPj3kvi3,spotify:track:3cBsEDNhFI9E82vPj3kvi3,https://api.spotify.com/v1/tracks/3cBsEDNhFI9E82vPj3kvi3,https://api.spotify.com/v1/audio-analysis/3cBsEDNhFI9E82vPj3kvi3,178520,3
Taylor Swift,Paris,0.7,0.509,7,-10.547,1,0.0789,0.112,3.27e-05,0.137,0.345,110.947,audio_features,7712gjoih4QoDbXpljEk21,spotify:track:7712gjoih4QoDbXpljEk21,https://api.spotify.com/v1/tracks/7712gjoih4QoDbXpljEk21,https://api.spotify.com/v1/audio-analysis/7712gjoih4QoDbXpljEk21,196259,4
Taylor Swift,High Infidelity,0.646,0.529,10,-10.179,1,0.0864,0.723,0,0.0885,0.755,87.862,audio_features,5kiZGSxgqPdv6rbqL9THdd,spotify:track:5kiZGSxgqPdv6rbqL9THdd,https://api.spotify.com/v1/tracks/5kiZGSxgqPdv6rbqL9THdd,https://api.spotify.com/v1/audio-analysis/5kiZGSxgqPdv6rbqL9THdd,231475,4
Bad Bunny,Titi Me Pregunto,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,audio_features,1IHWl5LamUGEuP4ozKQSXZ,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,https://api.spotify.com/v1/tracks/1IHWl5LamUGEuP4ozKQSXZ,https://api.spotify.com/v1/audio-analysis/1IHWl5LamUGEuP4ozKQSXZ,243717,4
Lizzo,About Damn Time,0.836,0.743,10,-6.305,0,0.0656,0.0995,0,0.335,0.722,108.966,audio_features,1PckUlxKqWQs3RlWXVBLw3,spotify:track:1PckUlxKqWQs3RlWXVBLw3,https://api.spotify.com/v1/tracks/1PckUlxKqWQs3RlWXVBLw3,https://api.spotify.com/v1/audio-analysis/1PckUlxKqWQs3RlWXVBLw3,191822,4
Luke Combs,The Kind Of Love We Make,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,audio_features,28n8z9IQKyjMPxmvYMBqZa,spotify:track:28n8z9IQKyjMPxmvYMBqZa,https://api.spotify.com/v1/tracks/28n8z9IQKyjMPxmvYMBqZa,https://api.spotify.com/v1/audio-analysis/28n8z9IQKyjMPxmvYMBqZa,224427,4
Harry Styles,Late Night Talking,0.714,0.728,10,-4.595,1,0.0468,0.298,0,0.106,0.901,114.996,audio_features,1qEmFfgcLObUfQm0j1W2CK,spotify:track:1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/tracks/1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/audio-analysis/1qEmFfgcLObUfQm0j1W2CK,177955,4
Beyonce,Cuff It,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,audio_features,1xzi1Jcr7mEi9K2RfzLOqS,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,https://api.spotify.com/v1/tracks/1xzi1Jcr7mEi9K2RfzLOqS,https://api.spotify.com/v1/audio-analysis/1xzi1Jcr7mEi9K2RfzLOqS,225389,4
Cole Swindell,She Had Me At Heads Carolina,0.607,0.912,8,-3.449,1,0.0611,0.124,0,0.332,0.722,134.944,audio_features,200x8ONbPfFzByUr3fVz46,spotify:track:200x8ONbPfFzByUr3fVz46,https://api.spotify.com/v1/tracks/200x8ONbPfFzByUr3fVz46,https://api.spotify.com/v1/audio-analysis/200x8ONbPfFzByUr3fVz46,206107,4
Taylor Swift,Glitch,0.675,0.466,11,-9.738,0,0.201,0.361,0,0.11,0.347,140.864,audio_features,6wAFvJPpTZVirBKGZ4EnMW,spotify:track:6wAFvJPpTZVirBKGZ4EnMW,https://api.spotify.com/v1/tracks/6wAFvJPpTZVirBKGZ4EnMW,https://api.spotify.com/v1/audio-analysis/6wAFvJPpTZVirBKGZ4EnMW,148781,4
The Weeknd,Die For You,0.582,0.525,1,-7.163,0,0.0627,0.111,0,0.134,0.51,133.249,audio_features,2Ch7LmS7r2Gy2kc64wv3Bz,spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,https://api.spotify.com/v1/tracks/2Ch7LmS7r2Gy2kc64wv3Bz,https://api.spotify.com/v1/audio-analysis/2Ch7LmS7r2Gy2kc64wv3Bz,260253,4
Lil Baby,California Breeze,0.738,0.666,5,-6.97,0,0.455,0.00361,0,0.107,0.215,161.734,audio_features,6ug9fUi5oLLgQgOF1G8WkM,spotify:track:6ug9fUi5oLLgQgOF1G8WkM,https://api.spotify.com/v1/tracks/6ug9fUi5oLLgQgOF1G8WkM,https://api.spotify.com/v1/audio-analysis/6ug9fUi5oLLgQgOF1G8WkM,177789,4
Taylor Swift,Dear Reader,0.562,0.388,0,-12.088,1,0.0705,0.481,0.00145,0.117,0.159,107.747,audio_features,3QF5RsWzK1lCvf2o2cY65P,spotify:track:3QF5RsWzK1lCvf2o2cY65P,https://api.spotify.com/v1/tracks/3QF5RsWzK1lCvf2o2cY65P,https://api.spotify.com/v1/audio-analysis/3QF5RsWzK1lCvf2o2cY65P,225194,4
Elton John & Britney Spears,Hold Me Closer,0.667,0.75,0,-4.602,1,0.0906,0.0746,0.000198,0.197,0.486,126.041,audio_features,72yP0DUlWPyH8P7IoxskwN,spotify:track:72yP0DUlWPyH8P7IoxskwN,https://api.spotify.com/v1/tracks/72yP0DUlWPyH8P7IoxskwN,https://api.spotify.com/v1/audio-analysis/72yP0DUlWPyH8P7IoxskwN,202246,4
Lil Uzi Vert,Just Wanna Rock,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,audio_features,4FyesJzVpA39hbYvcseO2d,spotify:track:4FyesJzVpA39hbYvcseO2d,https://api.spotify.com/v1/tracks/4FyesJzVpA39hbYvcseO2d,https://api.spotify.com/v1/audio-analysis/4FyesJzVpA39hbYvcseO2d,123891,4
Tyler Hubbard,5 Foot 9,0.602,0.796,5,-5.609,1,0.0465,0.146,0,0.125,0.53,106.005,audio_features,6AqwH2Y9FJwhUE2dCSkw1u,spotify:track:6AqwH2Y9FJwhUE2dCSkw1u,https://api.spotify.com/v1/tracks/6AqwH2Y9FJwhUE2dCSkw1u,https://api.spotify.com/v1/audio-analysis/6AqwH2Y9FJwhUE2dCSkw1u,189780,4
Sia,Unstoppable,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,audio_features,1yvMUkIOTeUNtNWlWRgANS,spotify:track:1yvMUkIOTeUNtNWlWRgANS,https://api.spotify.com/v1/tracks/1yvMUkIOTeUNtNWlWRgANS,https://api.spotify.com/v1/audio-analysis/1yvMUkIOTeUNtNWlWRgANS,217747,4
Bailey Zimmerman,Fall In Love,0.524,0.643,9,-6.055,1,0.0297,0.451,0,0.221,0.397,135.962,audio_features,5gVCfYmQRPy1QJifP8f5gg,spotify:track:5gVCfYmQRPy1QJifP8f5gg,https://api.spotify.com/v1/tracks/5gVCfYmQRPy1QJifP8f5gg,https://api.spotify.com/v1/audio-analysis/5gVCfYmQRPy1QJifP8f5gg,232059,4
Bailey Zimmerman,Rock And A Hard Place,0.582,0.568,1,-7.3,1,0.0275,0.577,0,0.105,0.394,121.991,audio_features,4686eQ81DEswHa90bcdlC9,spotify:track:4686eQ81DEswHa90bcdlC9,https://api.spotify.com/v1/tracks/4686eQ81DEswHa90bcdlC9,https://api.spotify.com/v1/audio-analysis/4686eQ81DEswHa90bcdlC9,207541,3
JVKE,Golden Hour,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,audio_features,5odlY52u43F5BjByhxg7wg,spotify:track:5odlY52u43F5BjByhxg7wg,https://api.spotify.com/v1/tracks/5odlY52u43F5BjByhxg7wg,https://api.spotify.com/v1/audio-analysis/5odlY52u43F5BjByhxg7wg,209260,3
Lil Baby,Heyy,0.494,0.667,7,-4.632,1,0.263,0.00299,0,0.0815,0.179,88.028,audio_features,6qzBOV7lg2pnYm1tIvjxo3,spotify:track:6qzBOV7lg2pnYm1tIvjxo3,https://api.spotify.com/v1/tracks/6qzBOV7lg2pnYm1tIvjxo3,https://api.spotify.com/v1/audio-analysis/6qzBOV7lg2pnYm1tIvjxo3,192727,5
Stephen Sanchez,Until I Found You,0.539,0.508,10,-6.05,1,0.0288,0.727,0,0.174,0.227,101.358,audio_features,0T5iIrXA4p5GsubkhuBIKV,spotify:track:0T5iIrXA4p5GsubkhuBIKV,https://api.spotify.com/v1/tracks/0T5iIrXA4p5GsubkhuBIKV,https://api.spotify.com/v1/audio-analysis/0T5iIrXA4p5GsubkhuBIKV,177720,3
Jax,Victoria’s Secret,0.586,0.556,6,-7.639,1,0.0592,0.00655,0,0.0836,0.517,167.018,audio_features,4svaKoxMMP7ImmKrD5hfQu,spotify:track:4svaKoxMMP7ImmKrD5hfQu,https://api.spotify.com/v1/tracks/4svaKoxMMP7ImmKrD5hfQu,https://api.spotify.com/v1/audio-analysis/4svaKoxMMP7ImmKrD5hfQu,176125,4
Jelly Roll,Son Of A Sinner,0.365,0.541,7,-7.489,1,0.0304,0.0419,2.25e-06,0.281,0.329,86.041,audio_features,25VQoiuyc0HkC5FQTj1a8G,spotify:track:25VQoiuyc0HkC5FQTj1a8G,https://api.spotify.com/v1/tracks/25VQoiuyc0HkC5FQTj1a8G,https://api.spotify.com/v1/audio-analysis/25VQoiuyc0HkC5FQTj1a8G,232093,4
Lil Nas X,Star Walkin' (League Of Legends Worlds Anthem),0.637,0.715,2,-4.971,0,0.0455,0.148,0,0.0892,0.308,141.872,audio_features,38T0tPVZHcPZyhtOcCP7pF,spotify:track:38T0tPVZHcPZyhtOcCP7pF,https://api.spotify.com/v1/tracks/38T0tPVZHcPZyhtOcCP7pF,https://api.spotify.com/v1/audio-analysis/38T0tPVZHcPZyhtOcCP7pF,210576,4
d4vd,Romantic Homicide,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,audio_features,1xK59OXxi2TAAAbmZK0kBL,spotify:track:1xK59OXxi2TAAAbmZK0kBL,https://api.spotify.com/v1/tracks/1xK59OXxi2TAAAbmZK0kBL,https://api.spotify.com/v1/audio-analysis/1xK59OXxi2TAAAbmZK0kBL,132631,4
Jordan Davis,What My World Spins Around,0.675,0.726,2,-6.459,1,0.0461,0.105,0,0.153,0.671,124.872,audio_features,6HBRLaSQ7NB8MNlaqzYen1,spotify:track:6HBRLaSQ7NB8MNlaqzYen1,https://api.spotify.com/v1/tracks/6HBRLaSQ7NB8MNlaqzYen1,https://api.spotify.com/v1/audio-analysis/6HBRLaSQ7NB8MNlaqzYen1,186791,4
Lil Baby,Real Spill,0.776,0.557,2,-7.441,1,0.545,0.0496,0,0.112,0.284,156.978,audio_features,4OkFBMU18NidtaefaTjUq1,spotify:track:4OkFBMU18NidtaefaTjUq1,https://api.spotify.com/v1/tracks/4OkFBMU18NidtaefaTjUq1,https://api.spotify.com/v1/audio-analysis/4OkFBMU18NidtaefaTjUq1,198722,4
Lil Baby,Stand On It,0.728,0.496,11,-7.298,0,0.127,0.0325,0,0.0916,0.214,86.468,audio_features,26Hgx0810XUis01XWvoftB,spotify:track:26Hgx0810XUis01XWvoftB,https://api.spotify.com/v1/tracks/26Hgx0810XUis01XWvoftB,https://api.spotify.com/v1/audio-analysis/26Hgx0810XUis01XWvoftB,166889,4
